INSTA Channel. One question Daily,,,,
Pattern,Question,Link 1,Link 2,Link 3
,Episode 13 : Unique Paths,https://leetcode.com/problems/unique-paths/description/,,
,Episode 14: Buy Sell Stocks,https://leetcode.com/problems/best-time-to-buy-and-sell-stock/description/,,
,,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii/description/,,
,,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iii/description/,,
,,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iv/description/,,
,Episode 15: MIn cost to cut stick,https://leetcode.com/problems/minimum-cost-to-cut-a-stick/,,
,Episode 16: Revision,,,
,,,,
,,,,
,GREEDY ,,,
,Lemonade,https://leetcode.com/problems/lemonade-change/,,
,Jump Game,https://leetcode.com/problems/jump-game/description/,,
,Assign cookies,https://leetcode.com/problems/assign-cookies/description/,,
,Fractional Knapsack,https://www.geeksforgeeks.org/problems/fractional-knapsack-1587115620/1,,

